title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
NBA Isaiah Thomas Wallpaper HD Custom New Tab,anmedhbaccdmgomhghoppmnffcmedckn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Mans Sky Wallpaper HD New Tab,annhckjlbaicdchjaobieokbhigeafcb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meow Met,annljkgbhnihbghkbfammlacnlfkdclp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boomerang Calendar,annmcneienljahlbfoaomcfghmomhfho,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FollowUpcc for Gmail,annoaihhfdegphdkkkbahheignkgigpd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narwhal,anpnihlhmokhgcdoobohmdbfmibbfgpb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Save to Google Photos,aoanickgmocpddnppajakfcafbkncdab,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office online OfficeWork for XLS DOC and PPT,aobjedggladklcfbokddfgjkfdioknak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anime Girls New Tab & Wallpapers Collection,aodkambinimogdapcklijbphomlolikk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOAA NWS Weather Forecast,aoeeadahepglhaccmlflogngkgakfenj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taco,aogabobfbepcehdkbfagdflinolncebh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Docs,aohghmighlieiainnegkcijnfilokake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
